DescripcionCIAN,ActividadBMXID,DescripcionBMX
OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,8913015,SERVICIOS DE REPARACION ESPECIALIZADO EN PARTES DE AUTOMOVILES EXCEPTO RECONSTRUCCION DE MOTORES Y CARROCERIAS
OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,6911102,USUARIOS MENORES ADQUISICION DE VIVIENDA RESIDENCIAL
OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,6911095,ADQUISICION DE VIVIENDA RESIDENCIAL
OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,6911087,USUARIOS MENORES ADQUISICION DE VIVIENDA TIPO MEDIO
OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,6911079,ADQUISICION DE VIVIENDA TIPO MEDIO
OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,6911045,COMPRAVENTA DE CASAS Y OTROS INMUEBLES
OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,6911029,COMPRA DE CASA HABITACION
OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,6629010,COMPRAVENTA DE MATERIALES PARA CONSTRUCCION
OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,4199916,CARTERA DE CONSTRUCCION DE ESTADOS ANALITICOS
OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,4199908,USUARIOS MENORES CONSTRUCCION DIFERENTE A VIVIENDA
OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,4129012,CONSTRUCCION DE PISTAS DE ATERRIZAJE DUCTOS Y OTRAS OBRAS VINCULADAS A LAS VIAS DE COMUNICACION
OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,4123014,CONSTRUCCION E INSTALACION DE LINEAS TELEFONICAS TORRES EMISORAS DE RADIO Y TELEVISION Y OTRAS OBRAS CONEXAS
OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,4111952,MENORES CONSTRUCCION DE VIVIENDA RESIDENCIAL
OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,4111936,USUARIOS MENORES CONSTRUCCION DE VIVIENDA TIPO MEDIO
OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,4111910,CARTERA DE VIVIENDA DE INTERES SOCIAL DE ESTADOS A
OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,4111051,DESARROLLADORES DE VIVIENDA
OTROS TRABAJOS ESPECIALIZADOS PARA LA CONSTRUCCION,4100004,"CONTRATACIÓN DE OBRAS COMPLETAS DE CONSTRUCCIÓN (CASAS, DEPARTAMENTOS, INMUEBLES, PAVIMENTACIÓN, NO RESIDENCIALES, VIAS DE COMUNICACIÓN)"
ELABORACION DE ALIMENTOS PARA ANIMALES,,
ELABORACION DE PRODUCTOS DE MOLINERIA Y MANUFACTURA DE MALTA,3639012,FABRICACION DE MOLINOS PARA GRANOS
ELABORACION DE PRODUCTOS DE MOLINERIA Y MANUFACTURA DE MALTA,2029032,MOLINO DE OTROS CEREALES
ELABORACION DE PRODUCTOS DE MOLINERIA Y MANUFACTURA DE MALTA,2029024,MOLINO DE CEBADA
ELABORACION DE PRODUCTOS DE MOLINERIA Y MANUFACTURA DE MALTA,2029016,MOLINO DE AVENA
ELABORACION DE PRODUCTOS DE MOLINERIA Y MANUFACTURA DE MALTA,2028042,MOLINO PARA OTROS GRANOS EXCEPTO CEREALES
ELABORACION DE PRODUCTOS DE MOLINERIA Y MANUFACTURA DE MALTA,2024016,MOLINO DE ARROZ
ELABORACION DE PRODUCTOS DE MOLINERIA Y MANUFACTURA DE MALTA,2023018,MOLINO DE NIXTAMAL
ELABORACION DE PRODUCTOS DE MOLINERIA Y MANUFACTURA DE MALTA,2022010,MOLINO DE MAIZ
ELABORACION DE PRODUCTOS DE MOLINERIA Y MANUFACTURA DE MALTA,2021012,MOLINO DE TRIGO
"ELABORACION DE ALMIDONES, ACEITES Y GRASAS VEGETALES COMESTIBLES",2099027,FABRICACION DE ACEITES Y MANTECAS ANIMALES COMESTIBLES
"ELABORACION DE ALMIDONES, ACEITES Y GRASAS VEGETALES COMESTIBLES",2092013,FABRICACION DE ALMIDON
"ELABORACION DE ALMIDONES, ACEITES Y GRASAS VEGETALES COMESTIBLES",2091023,FABRICACION DE MANTECAS VEGETALES COMESTIBLES
"ELABORACION DE ALMIDONES, ACEITES Y GRASAS VEGETALES COMESTIBLES",2091015,FABRICACION DE ACEITES VEGETALES COMESTIBLES
"ELABORACION DE ALMIDONES, ACEITES Y GRASAS VEGETALES COMESTIBLES",0323014,EXPLOTACION DE RAICES
ELABORACION DE CEREALES PARA EL DESAYUNO,,
ELABORACION DE AZUCAR,6132013171,COMPRA VENTA DE AZUCAR
ELABORACION DE AZUCAR,2031029,INGENIO AZUCARERO
ELABORACION DE CHOCOLATE Y PRODUCTOS DE CHOCOLATE A PARTIR DE CACAO,,
ELABORACION DE PRODUCTOS DE CHOCOLATE A PARTIR DE CHOCOLATE,2081016,FABRICACION DE CHOCOLATES
"ELABORACION DE DULCES, CHICLES Y PRODUCTOS DE CONFITERIA QUE NO SEAN DE CHOCOLATE",0321018,EXTRACCION DE CHICLE
ELABORACION DE CHOCOLATE Y PRODUCTOS DE CHOCOLATE,,
"CONGELACION DE FRUTAS, VERDURAS Y GUISOS",,
"CONSERVACION DE FRUTAS, VERDURAS Y GUISOS POR PROCESOS DISTINTOS A LA CONGELACION",2012029,EMPACADORA DE FRUTAS Y LEGUMBRES
"CONSERVACION DE FRUTAS, VERDURAS Y GUISOS POR PROCESOS DISTINTOS A LA CONGELACION",2012011,EMPACADORA DE CONSERVAS ALIMENTICIAS
ELABORACION DE LECHE Y DERIVADOS LACTEOS,6132047,COMPRAVENTA DE OTROS PRODUCTOS LACTEOS
ELABORACION DE LECHE Y DERIVADOS LACTEOS,6132039,COMPRAVENTA DE LECHE
ELABORACION DE LECHE Y DERIVADOS LACTEOS,2059013,FABRICACION DE CAJETAS YOGURTS Y OTROS PRODUCTOS A BASE DE LECHE
ELABORACION DE LECHE Y DERIVADOS LACTEOS,2053015,FABRICACION DE LECHE CONDENSADA EVAPORADA Y PULVERIZADA
ELABORACION DE LECHE Y DERIVADOS LACTEOS,2052017,FABRICACION DE CREMA MANTEQUILLA Y QUESO
ELABORACION DE LECHE Y DERIVADOS LACTEOS,2051019,FABRICACION Y PREHIDRATACION DE LECHE
ELABORACION DE LECHE Y DERIVADOS LACTEOS,2013027,FABRICACION DE QUESO Y MIEL DE TUNA
ELABORACION DE HELADOS Y PALETAS,8714017,NEVERIA Y REFRESQUERIA
"MATANZA, EMPACADO Y PROCESAMIENTO DE CARNE DE GANADO Y AVES",2049030,REFRIGERACION DE CARNES
"MATANZA, EMPACADO Y PROCESAMIENTO DE CARNE DE GANADO Y AVES",2049022,FABRICACION DE CARNES FRIAS Y EMBUTIDOS
"MATANZA, EMPACADO Y PROCESAMIENTO DE CARNE DE GANADO Y AVES",2049014,EMPACADORA DE CARNE
"MATANZA, EMPACADO Y PROCESAMIENTO DE CARNE DE GANADO Y AVES",2041010,RASTRO
PREPARACION Y ENVASADO DE PESCADOS Y MARISCOS,8713019,SERVICIOS EN OSTIONERIAS Y PREPARACION DE OTROS MARISCOS Y PESCADOS
PREPARACION Y ENVASADO DE PESCADOS Y MARISCOS,6126032170,COMPRA VENTA DE PESCADOS Y MARISCOS
PREPARACION Y ENVASADO DE PESCADOS Y MARISCOS,2099035,FABRICACION DE HARINA DE PESCADO
PREPARACION Y ENVASADO DE PESCADOS Y MARISCOS,2061034,EMPACADORA DE PESCADO
PREPARACION Y ENVASADO DE PESCADOS Y MARISCOS,2061026,EMPACADORA DE OTROS MARISCOS
PREPARACION Y ENVASADO DE PESCADOS Y MARISCOS,2061018,CONGELADORA DE PRODUCTOS MARINOS
ELABORACION DE PAN Y OTROS PRODUCTOS DE PANADERIA,6132055170,COMPRA VENTA DE PAN Y PASTELES
ELABORACION DE PAN Y OTROS PRODUCTOS DE PANADERIA,2072023,FABRICACION DE GALLETAS
ELABORACION DE PAN Y OTROS PRODUCTOS DE PANADERIA,2071017,FABRICACION DE PAN Y PASTELES
ELABORACION DE GALLETAS Y PASTAS PARA SOPA,2099051,FABRICACION DE PASTAS PARA GUISOS
ELABORACION DE TORTILLAS DE MAIZ Y MOLIENDA DE NIXTAMAL,2093011,TORTILLERIA
ELABORACION DE BOTANAS,,
INDUSTRIAS DEL CAFE Y DEL TE,8711013,CAFETERIA
INDUSTRIAS DEL CAFE Y DEL TE,2025014,BENEFICIO DE CAFE EXCEPTO MOLIENDA Y TOSTADO
"ELABORACION DE CONCENTRADOS, POLVOS, JARABES Y ESENCIAS DE SABOR PARA REFRESCOS",2089010,FABRICACION DE JARABES
"ELABORACION DE CONCENTRADOS, POLVOS, JARABES Y ESENCIAS DE SABOR PARA REFRESCOS",2012037,FABRICACION DE CONCENTRADOS DE FRUTAS
ELABORACION DE CONDIMENTOS Y ADEREZOS,,
ELABORACION DE OTROS ALIMENTOS,8712011,SERVICIOS DE ALIMENTOS EN LENCERIAS TAQUERIAS Y TORTERIAS
ELABORACION DE OTROS ALIMENTOS,8700008,PREPARACIÓN Y SERVICIO DE ALIMENTOS Y BEBIDAS
ELABORACION DE OTROS ALIMENTOS,8219033,CORRESPONSAL BANCARIO
ELABORACION DE OTROS ALIMENTOS,6911061,ACTUALIZACION MENSUAL DEL SALDO OPERACIONES DE CRE
ELABORACION DE OTROS ALIMENTOS,6722012,COMPRAVENTA DE EQUIPO Y MOBILIARIO PARA HOTELES RESTAURANTES BILLARES BOLICHES PELUQUERIAS Y SALONES DE BELLEZA
ELABORACION DE OTROS ALIMENTOS,6619029,COMPRAVENTA DE LANA
ELABORACION DE OTROS ALIMENTOS,6619011,COMPRAVENTA DE HENEQUEN E IXTLE
ELABORACION DE OTROS ALIMENTOS,6613013,COMPRAVENTA DE CUEROS Y PIELES SIN CURTIR
ELABORACION DE OTROS ALIMENTOS,6612015,COMPRAVENTA DE SEMILLAS PARA SIEMBRA
ELABORACION DE OTROS ALIMENTOS,6519013,COMPRAVENTA DE CARBON Y OTROS COMBUSTIBLES
ELABORACION DE OTROS ALIMENTOS,6513015,COMPRAVENTA DE GASOLINA Y DIESEL
ELABORACION DE OTROS ALIMENTOS,6512017,COMPRAVENTA DE GAS PARA USO DOMESTICO O COMERCIAL
ELABORACION DE OTROS ALIMENTOS,6511019,COMPRAVENTA DE FLUIDOS Y GASES
ELABORACION DE OTROS ALIMENTOS,6500004,"COMPRAVENTA DE GASES, COMBUSTIBLES Y LUBRICANTES"
ELABORACION DE OTROS ALIMENTOS,6419023,COMPRAVENTA DE REFACCIONES PARA APARATOS ELECTRICOS
ELABORACION DE OTROS ALIMENTOS,6419015,COMPRAVENTA DE OTROS APARATOS ELECTRICOS
ELABORACION DE OTROS ALIMENTOS,6400006,COMPRAVENTA EN TIENDAS DE AUTOSERVICIO Y DE DEPARTAMENTOS ESPECIALIZADOS POR LÍNEA DE MERCANCÍAS
ELABORACION DE OTROS ALIMENTOS,6329016,COMPRAVENTA DE OTROS ARTICULOS PARA EL HOGAR
ELABORACION DE OTROS ALIMENTOS,6326020,COMPRAVENTA DE FLORES Y ADORNOS FLORALES NATURALES
ELABORACION DE OTROS ALIMENTOS,6326012,COMPRAVENTA DE FLORES Y ADORNOS FLORALES ARTIFICIALES
ELABORACION DE OTROS ALIMENTOS,6325048,COMPRAVENTA DE ARTICULOS REGIONALES CURIOSIDADES Y ARTESANIAS
ELABORACION DE OTROS ALIMENTOS,6325030,COMPRAVENTA DE ARTICULOS PARA REGALO
ELABORACION DE OTROS ALIMENTOS,6325022,COMPRAVENTA DE ARTICULOS DE YUTE Y HENEQUEN
ELABORACION DE OTROS ALIMENTOS,6325014,COMPRAVENTA DE ANTIGÜEDADES
ELABORACION DE OTROS ALIMENTOS,6324016,COMPRAVENTA DE ARTICULOS RELIGIOSOS
ELABORACION DE OTROS ALIMENTOS,6323018,COMPRAVENTA DE DISCOS Y CASSETTES
ELABORACION DE OTROS ALIMENTOS,6322028,COMPRAVENTA DE TAPETES Y ALFOMBRAS
ELABORACION DE OTROS ALIMENTOS,6322010,COMPRAVENTA DE ARTICULOS PARA DECORACION
ELABORACION DE OTROS ALIMENTOS,6321012,COMPRAVENTA DE ARTICULOS DE CRISTAL LOZA Y PORCELANA
ELABORACION DE OTROS ALIMENTOS,6314017,"COMPRAVENTA DE REFACCIONES Y ACCESORIOS DE MAQUINAS APARATOS E INSTRUMENTOS PARA EL HOGAR EXCEPTO, LOS DE MAQUINAS DE COSER Y TEJER"
ELABORACION DE OTROS ALIMENTOS,6313019,COMPRAVENTA DE MAQUINAS DE COSER Y TEJEDORAS
ELABORACION DE OTROS ALIMENTOS,6312011,COMPRAVENTA DE MUEBLES
ELABORACION DE OTROS ALIMENTOS,6311021,COMPRAVENTA DE TELEVISORES CONSOLAS RADIOS MODULARES Y TOCACINTAS
ELABORACION DE OTROS ALIMENTOS,6311013,COMPRAVENTA DE REFRIGERADORES LAVADORAS Y ESTUFAS
ELABORACION DE OTROS ALIMENTOS,6300008,"COMPRAVENTA DE ARTÍCULOS PARA EL HOGAR (ELECTRODOMESTICOS, REFACCIONES, LOZA Y PORCELANA, ANTIGUEDADES)"
ELABORACION DE OTROS ALIMENTOS,6233019,COMPRAVENTA DE PAPELERIA Y ARTICULOS DE ESCRITORIO
ELABORACION DE OTROS ALIMENTOS,6231021,COMPRAVENTA DE PERFUMES
ELABORACION DE OTROS ALIMENTOS,6231013,COMPRAVENTA DE MEDICINAS
ELABORACION DE OTROS ALIMENTOS,6229018,COMPRAVENTA DE ARTICULOS FOTOGRAFICOS Y CINEMATOGRAFICOS
ELABORACION DE OTROS ALIMENTOS,6226030,COMPRAVENTA DE SILLAS DE MONTAR
ELABORACION DE OTROS ALIMENTOS,6226022,COMPRAVENTA DE OTROS ARTICULOS DE PIEL
ELABORACION DE OTROS ALIMENTOS,6226014,COMPRAVENTA DE ARTICULOS DE TALABARTERIA
ELABORACION DE OTROS ALIMENTOS,6225032,COMPRAVENTA DE RELOJES
ELABORACION DE OTROS ALIMENTOS,6225024,COMPRAVENTA DE OTRAS JOYAS
ELABORACION DE OTROS ALIMENTOS,6225016,COMPRAVENTA DE ARTICULOS DE PLATA
ELABORACION DE OTROS ALIMENTOS,6224018,COMPRAVENTA DE INSTRUMENTOS Y ARTICULOS MUSICALES
ELABORACION DE OTROS ALIMENTOS,6223010,COMPRAVENTA DE JUGUETES
ELABORACION DE OTROS ALIMENTOS,6222012,COMPRAVENTA DE ARTICULOS DE OPTICA
ELABORACION DE OTROS ALIMENTOS,6221014,COMPRAVENTA DE ARTICULOS PARA DEPORTE
ELABORACION DE OTROS ALIMENTOS,6216015,COMPRAVENTA DE CASIMIRES
ELABORACION DE OTROS ALIMENTOS,6215017,COMPRAVENTA DE ARTICULOS DE MERCERIA Y CEDERIA
ELABORACION DE OTROS ALIMENTOS,6214019,COMPRAVENTA DE PIELES FINAS CON PELO
ELABORACION DE OTROS ALIMENTOS,6213011,COMPRAVENTA DE SOMBREROS
ELABORACION DE OTROS ALIMENTOS,6212013,COMPRAVENTA DE CALZADO
ELABORACION DE OTROS ALIMENTOS,6211015,COMPRAVENTA DE ARTICULOS DE LENCERIA
ELABORACION DE OTROS ALIMENTOS,6200000,COMPRAVENTA DE PRENDAS DE VESTIR Y OTROS ARTÍCULOS DE USO PERSONAL
ELABORACION DE OTROS ALIMENTOS,6139027,COMPRAVENTA DE TABACOS PUROS Y CIGARROS
ELABORACION DE OTROS ALIMENTOS,6139019,COMPRAVENTA DE TABACO
ELABORACION DE OTROS ALIMENTOS,6136023,COMPRAVENTA DE VINOS Y LICORES
ELABORACION DE OTROS ALIMENTOS,6136015,COMPRAVENTA DE PULQUE
ELABORACION DE OTROS ALIMENTOS,6135017,COMPRAVENTA DE CERVEZA
ELABORACION DE OTROS ALIMENTOS,6132089,COMPRAVENTA DE AZUCAR
ELABORACION DE OTROS ALIMENTOS,6132063,COMPRAVENTA DE SAL
ELABORACION DE OTROS ALIMENTOS,6132055,COMPRAVENTA DE PAN Y PASTELES
ELABORACION DE OTROS ALIMENTOS,6132021,COMPRAVENTA DE ESPECIAS Y ARTICULOS ALIMENTICIOS DESHIDRATADOS
ELABORACION DE OTROS ALIMENTOS,6132013,COMPRAVENTA DE DULCES
ELABORACION DE OTROS ALIMENTOS,6126016,COMPRAVENTA DE MANTECA
ELABORACION DE OTROS ALIMENTOS,6125018,COMPRAVENTA DE HUEVO
ELABORACION DE OTROS ALIMENTOS,6124010,COMPRAVENTA DE CARNE DE AVES
ELABORACION DE OTROS ALIMENTOS,6121016,COMPRAVENTA DE AVES EN PIE
ELABORACION DE OTROS ALIMENTOS,6114011,COMPRAVENTA DE FORRAJES EN ESTADO NATURAL
ELABORACION DE OTROS ALIMENTOS,6113013,COMPRAVENTA DE CHILE SECO Y ESPECIAS
ELABORACION DE OTROS ALIMENTOS,6112023,COMPRAVENTA DE LEGUMBRES Y HORTALIZAS
ELABORACION DE OTROS ALIMENTOS,6112015,COMPRAVENTA DE FRUTAS
ELABORACION DE OTROS ALIMENTOS,6111017,COMPRAVENTA DE SEMILLAS Y GRANOS
ELABORACION DE OTROS ALIMENTOS,6100002,"COMPRAVENTA DE ALIMENTOS, BEBIDAS Y PRODUCTOS DE TABACO"
ELABORACION DE OTROS ALIMENTOS,3072014,FABRICACION Y REFINACION DE SEBO GRASAS Y ACEITES ANIMALES PARA USO INDUSTRIAL
ELABORACION DE OTROS ALIMENTOS,2521020,PREPARACION DE VISCERAS PARA INDUSTRIAS NO ALIMENTICIAS
ELABORACION DE OTROS ALIMENTOS,2099043,FABRICACION DE OTROS PRODUCTOS ALIMENTICIOS
ELABORACION DE OTROS ALIMENTOS,2098037,FABRICACION DE ALIMENTOS PARA AVES
ELABORACION DE OTROS ALIMENTOS,2095025,REFINACION DE SAL
ELABORACION DE OTROS ALIMENTOS,2095017,FABRICACION DE VINAGRE
ELABORACION DE OTROS ALIMENTOS,2094027,FABRICACION DE OTROS PREPARADOS ALIMENTICIOS DERIVADOS DE CEREALES
ELABORACION DE OTROS ALIMENTOS,2094019,FABRICACION DE FRITURAS
ELABORACION DE OTROS ALIMENTOS,2092021,FABRICACION DE LEVADURAS
ELABORACION DE OTROS ALIMENTOS,2083012,FABRICACION DE GOMA DE MASCAR
ELABORACION DE OTROS ALIMENTOS,2082014,FABRICACION DE DULCES BOMBONES Y CONFITES
ELABORACION DE OTROS ALIMENTOS,2072031,FABRICACION DE PASTAS ALIMENTICIAS
ELABORACION DE OTROS ALIMENTOS,2072015,FABRICACION DE CONOS PARA NIEVE
ELABORACION DE OTROS ALIMENTOS,2059013060,FABRICACION DE CAJETAS YOGOURTS Y OTROS PRODUCTOS A BASE DE LECHE
ELABORACION DE OTROS ALIMENTOS,2054021,FABRICACION DE GRENETINA
ELABORACION DE OTROS ALIMENTOS,2054013,FABRICACION DE GELATINAS
ELABORACION DE OTROS ALIMENTOS,2032019,FABRICACION DE PILONCILLO
ELABORACION DE OTROS ALIMENTOS,2031011,FABRICACION DE MARQUETAS Y ESTUCHADOS DE AZUCAR
ELABORACION DE OTROS ALIMENTOS,2014017,FABRICACION DE SALSAS
ELABORACION DE OTROS ALIMENTOS,2013019,FABRICACION DE ATES
ELABORACION DE OTROS ALIMENTOS,2000008,FABRICACIÓN DE ALIMENTOS
ELABORACION DE OTROS ALIMENTOS,1500009,EXPLOTACIÓN DE SAL
"ELABORACION DE REFRESCOS Y HIELO, Y PURIFICACION DE AGUA",6134019170,COMPRA VENTA DE REFRESCOS AGUAS GASEOSAS Y AGUAS PURIFICADAS
"ELABORACION DE REFRESCOS Y HIELO, Y PURIFICACION DE AGUA",3099034,FABRICACION DE HIELO SECO
"ELABORACION DE REFRESCOS Y HIELO, Y PURIFICACION DE AGUA",2097013,FABRICACION DE HELADOS NIEVES Y PALETAS
"ELABORACION DE REFRESCOS Y HIELO, Y PURIFICACION DE AGUA",2096015,FABRICACION DE HIELO
ELABORACION DE CERVEZA,,
"ELABORACION DE BEBIDAS ALCOHOLICAS A BASE DE UVA Y BEBIDAS FERMENTADAS, EXCEPTO CERVEZA",,
"ELABORACION DE BEBIDAS DESTILADAS, EXCEPTO DE UVA",2033017,DESTILACION DE ALCOHOL ETILICO
BENEFICIO DEL TABACO,2219021,PICADO DE TABACO
BENEFICIO DEL TABACO,2211019,DESECADO DE TABACO
ELABORACION DE PRODUCTOS DE TABACO,2219013,FABRICACION DE PUROS
ELABORACION DE PRODUCTOS DE TABACO,2212017,FABRICACION DE CIGARROS
PREPARACION E HILADO DE FIBRAS TEXTILES Y FABRICACION DE HILOS,8929038,TALLER DE REPARACION DE SOMBREROS
PREPARACION E HILADO DE FIBRAS TEXTILES Y FABRICACION DE HILOS,2394013,BENEFICIO DE PELO Y CERDA PARA LA INDUSTRIA TEXTIL
PREPARACION E HILADO DE FIBRAS TEXTILES Y FABRICACION DE HILOS,2332013,FABRICACION DE HILADOS Y TEJIDOS DE HENEQUEN
PREPARACION E HILADO DE FIBRAS TEXTILES Y FABRICACION DE HILOS,2329010,FABRICACION DE HILADOS Y TEJIDOS DE OTRAS FIBRAS SINTETICAS
PREPARACION E HILADO DE FIBRAS TEXTILES Y FABRICACION DE HILOS,2314011,FABRICACION DE ESTAMBRES
PREPARACION E HILADO DE FIBRAS TEXTILES Y FABRICACION DE HILOS,2313039,FABRICACION DE OTROS HILADOS Y TEJIDOS NO SINTETICOS
PREPARACION E HILADO DE FIBRAS TEXTILES Y FABRICACION DE HILOS,2313013,FABRICACION DE HILOS PARA COSER
PREPARACION E HILADO DE FIBRAS TEXTILES Y FABRICACION DE HILOS,2312049,FABRICACION DE HILADOS Y TEJIDOS DE LANA
PREPARACION E HILADO DE FIBRAS TEXTILES Y FABRICACION DE HILOS,2312031,FABRICACION DE HILADOS Y TEJIDOS DE ALGODON
FABRICACION DE TELAS ANCHAS DE TRAMA,,
FABRICACION DE TELAS ANGOSTAS DE TRAMA Y PASAMANERIA,,
FABRICACION DE TELAS NO TEJIDAS,2433019060,FABRICACION DE ALGODON ABSORBENTE VENDAS TELA ADEHESIVA Y PRODUCTOS SIMILARES
FABRICACION DE TELAS NO TEJIDAS,2391035,FABRICACION DE TELAS IMPERMEABLES
FABRICACION DE TELAS NO TEJIDAS,2318039,FABRICACION DE TELAS ELASTICAS
FABRICACION DE TELAS DE PUNTO,6216031,COMPRAVENTA DE TELAS
FABRICACION DE TELAS DE PUNTO,2317031060,FABRICACION DE OTRAS TELAS MIXTAS  DE FIBRAS BLANDAS
FABRICACION DE TELAS DE PUNTO,2317031,FABRICACION DE OTRAS TELAS MIXTAS DE FIBRAS BLANDAS
"ACABADO DE FIBRAS, HILADOS, HILOS Y TELAS",6619045170,COMPRA VENTA DE OTRAS FIBRAS COMERCIALES
"ACABADO DE FIBRAS, HILADOS, HILOS Y TELAS",6619045,COMPRAVENTA DE OTRAS FIBRAS COMERCIALES
"ACABADO DE FIBRAS, HILADOS, HILOS Y TELAS",2439017,FABRICACION DE BANDERAS Y ADORNOS DE TELA
"ACABADO DE FIBRAS, HILADOS, HILOS Y TELAS",2319011,ACABADO DE TELAS
"ACABADO DE FIBRAS, HILADOS, HILOS Y TELAS",2313021,ACABADO DE HILOS
RECUBRIMIENTO DE TELAS,2392025,FABRICACION DE TELAS PARA TAPICERIA
TEJIDO Y CONFECCION DE ALFOMBRAS Y TAPETES,6322028170,COMPRA VENTA DE TAPETES Y ALFOMBRAS
TEJIDO Y CONFECCION DE ALFOMBRAS Y TAPETES,2392017,FABRICACION DE TAPETES Y ALFOMBRAS
"CONFECCION DE CORTINAS, BLANCOS Y SIMILARES",2431021,FABRICACION DE CORTINAS DE TELA Y MANTELERIA
"CONFECCION DE CORTINAS, BLANCOS Y SIMILARES",2393015,FABRICACION DE ENTRETELAS Y FIELTROS
CONFECCION DE COSTALES Y PRODUCTOS DE TEXTILES RECUBIERTOS Y DE MATERIALES SUCEDANEOS,6626032170,COMPRA VENTA DE COSTALES Y BOLSAS
"CONFECCION DE OTROS PRODUCTOS TEXTILES, EXCEPTO PRENDAS DE VESTIR",3699032,FABRICACION DE ACCESORIOS PARA LA INDUSTRIA TEXTIL
"CONFECCION DE OTROS PRODUCTOS TEXTILES, EXCEPTO PRENDAS DE VESTIR",2417021,FABRICACION DE SOMBREROS EXCEPTO DE PALMA
"CONFECCION DE OTROS PRODUCTOS TEXTILES, EXCEPTO PRENDAS DE VESTIR",2417013,FABRICACION DE CACHUCHAS Y GORRAS
TEJIDO DE CALCETINES Y MEDIAS,2321024,FABRICACION DE MEDIAS
TEJIDO DE CALCETINES Y MEDIAS,2321016,FABRICACION DE CALCETINES
TEJIDO DE OTRAS PRENDAS DE VESTIR DE PUNTO,2415017,FABRICACION DE OTRAS PRENDAS EXTERIORES DE VESTIR PARA NIÑO
TEJIDO DE OTRAS PRENDAS DE VESTIR DE PUNTO,2414019,FABRICACION DE CAMISAS
TEJIDO DE OTRAS PRENDAS DE VESTIR DE PUNTO,2413011,FABRICACION DE UNIFORMES
TEJIDO DE OTRAS PRENDAS DE VESTIR DE PUNTO,2412021,FABRICACION DE TRAJES PARA CABALLERO
TEJIDO DE OTRAS PRENDAS DE VESTIR DE PUNTO,2412013,FABRICACION DE OTRAS PRENDAS EXTERIORES DE VESTIR PARA CABALLERO
TEJIDO DE OTRAS PRENDAS DE VESTIR DE PUNTO,2411015,FABRICACION DE VESTIDOS Y OTRAS PRENDAS EXTERIORES DE VESTIR PARA DAMA
TEJIDO DE OTRAS PRENDAS DE VESTIR DE PUNTO,2339027,FABRICACION DE HILADOS Y TEJIDOS DE FIBRA DE COCO
TEJIDO DE OTRAS PRENDAS DE VESTIR DE PUNTO,2339019,FABRICACION DE HILADOS Y TEJIDOS DE YUTE
TEJIDO DE OTRAS PRENDAS DE VESTIR DE PUNTO,2333037,FABRICACION DE TEJIDOS Y TORCIDOS DE IXTLE
TEJIDO DE OTRAS PRENDAS DE VESTIR DE PUNTO,2333029,FABRICACION DE TEJIDOS Y TORCIDOS DE PALMA
TEJIDO DE OTRAS PRENDAS DE VESTIR DE PUNTO,2333011,FABRICACION DE ARTICULOS DE PALMA Y TULE
"CONFECCION DE ROPA DE CUERO, PIEL Y MATERIALES SUCEDANEOS",6613013170,COMPRA VENTA DE CUEROS Y PIELES SIN CURTIR
CONFECCION DE ROPA DE MATERIALES TEXTILES,8929020,TALLER DE REPARACION DE ROPA Y MEDIAS
CONFECCION DE ROPA DE MATERIALES TEXTILES,6239017,COMPRAVENTA DE PARAGUAS SOMBRILLAS ROPA USADA Y OTROS ARTICULOS DE USO PERSONAL
CONFECCION DE ROPA DE MATERIALES TEXTILES,6216023,COMPRAVENTA DE OTROS PRODUCTOS TEXTILES
CONFECCION DE ROPA DE MATERIALES TEXTILES,6211023,COMPRAVENTA DE ROPA
CONFECCION DE ROPA DE MATERIALES TEXTILES,2439025,FABRICACION DE COSTALES
CONFECCION DE ROPA DE MATERIALES TEXTILES,2434017,FABRICACION DE ARTICULOS BORDADOS Y DESHILADOS
CONFECCION DE ROPA DE MATERIALES TEXTILES,2432029,FABRICACION DE TAPICES PLASTICOS
CONFECCION DE ROPA DE MATERIALES TEXTILES,2432011060,FABRICACION DE CUBREASIENTOS PARA VEHICULOS
CONFECCION DE ROPA DE MATERIALES TEXTILES,2431013,FABRICACION DE SABANAS
CONFECCION DE ROPA DE MATERIALES TEXTILES,2429018,FABRICACION DE ROPA INTERIOR PARA CABALLERO
